gsn,atc
1776,A10BB
1777,A10BB
1781,B05CX
1781,V04CA
1781,V06DC
1873,A16AA
1875,B05XB
1876,B05XB
1880,B05XB
1882,A16AA
1884,A16AA
1989,B05CX
1989,V04CA
1989,V06DC
2037,A11CA
2037,D10AD
2037,R01AX
2037,S01XA
2038,A11CA
2038,D10AD
2038,R01AX
2038,S01XA
2039,A11CA
2039,D10AD
2039,R01AX
2039,S01XA
2042,A11CA
2042,D10AD
2042,R01AX
2042,S01XA
2048,A11CA
2048,D02BB
2049,A11CA
2049,D02BB
2050,A11CA
2050,D02BB
2051,A11CA
2051,D02BB
2094,A11HA
2094,A11GA
2094,G01AD
2094,S01XA
2124,A11GA
2124,G01AD
2124,S01XA
2127,A11GA
2127,G01AD
2127,S01XA
2129,A11GA
2129,G01AD
2129,S01XA
2134,A11GA
2134,G01AD
2134,S01XA
2142,A11GA
2142,G01AD
2142,S01XA
2143,A11GA
2143,G01AD
2143,S01XA
2144,A11GA
2144,G01AD
2144,S01XA
2145,A11GA
2145,G01AD
2145,S01XA
2148,A11GA
2148,G01AD
2148,S01XA
2151,A11GA
2151,G01AD
2151,S01XA
2152,A11GA
2152,G01AD
2152,S01XA
2153,A11GA
2153,G01AD
2153,S01XA
2154,A11GA
2154,G01AD
2154,S01XA
2156,A11GA
2156,G01AD
2156,S01XA
2160,A11GA
2160,G01AD
2160,S01XA
2161,A11GA
2161,G01AD
2161,S01XA
2163,A11GA
2163,G01AD
2163,S01XA
2167,A11GA
2167,G01AD
2167,S01XA
2168,A11CC
2169,A11CC
2171,A11CC
2172,A11CC
2173,A11CC
2174,A11CC
2184,A11CC
2184,D05AX
2185,A11CC
2185,D05AX
2186,A11CC
2186,D05AX
2195,A11HA
2196,A11HA
2197,A11HA
2198,A11HA
2199,A11HA
2200,A11HA
2202,A11HA
2211,A11HA
2213,A11HA
2214,A11HA
2217,A11HA
2219,A11HA
2221,A11HA
2223,A11HA
2225,A11HA
2287,A11HA
2289,A11HA
2301,B02BA
2302,B02BA
2303,B02BA
2305,B02BA
2327,B03BA
2329,B03BA
2336,B03BA
2337,B03BA
2338,B03BA
2339,B03BA
2340,B03BA
2341,B03BA
2342,B03BA
2343,B03BA
2345,B03BA
2347,B03BA
2347,V03AB
2362,B03BB
2362,V04CX
2364,B03BB
2364,V04CX
2365,B03BB
2365,V04CX
2366,B03BB
2366,V04CX
2378,C04AC
2378,C10AD
2379,C04AC
2379,C10AD
2381,C04AC
2381,C10AD
2386,C04AC
2386,C10AD
2389,C04AC
2389,C10AD
2390,C04AC
2390,C10AD
2391,C04AC
2391,C10AD
2394,C04AC
2394,C10AD
2395,C04AC
2395,C10AD
2396,C04AC
2396,C10AD
2400,A11HA
2403,A11HA
2408,A11HA
2408,D03AX
2423,A11HA
2436,A11HA
2436,S01XA
2437,A11HA
2437,S01XA
2440,A11HA
2440,S01XA
2444,A11DA
2446,A11DA
2451,A11DA
2453,A11DA
2455,A11DA
2456,A11DA
2535,M04AA
2536,M04AA
2537,N04BA
2538,N04BA
2539,N04BA
